#,Name,Type1,Type2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,First Ability,Second Ability,Hidden Ability,Group 1,Group 2
1,Bulbasaur,Grass,Poison,318,45,49,49,65,65,45,1,Overgrow,,Chlorophyll,Monster,Grass
2,Ivysaur,Grass,Poison,405,60,62,63,80,80,60,1,Overgrow,,Chlorophyll,Monster,Grass
3,Venusaur,Grass,Poison,525,80,82,83,100,100,80,1,Overgrow,,Chlorophyll,Monster,Grass
3,Venusaur Mega Venusaur,Grass,Poison,625,80,100,123,122,120,80,1,Thick Fat,,,Monster,Grass
4,Charmander,Fire,,309,39,52,43,60,50,65,1,Blaze,,Solar Power,Dragon,Monster
5,Charmeleon,Fire,,405,58,64,58,80,65,80,1,Blaze,,Solar Power,Dragon,Monster
6,Charizard,Fire,Flying,534,78,84,78,109,85,100,1,Blaze,,Solar Power,Dragon,Monster
6,Charizard Mega Charizard X,Fire,Dragon,634,78,130,111,130,85,100,1,Tough Claws,,,Dragon,Monster
6,Charizard Mega Charizard Y,Fire,Flying,634,78,104,78,159,115,100,1,Drought,,,Dragon,Monster
7,Squirtle,Water,,314,44,48,65,50,64,43,1,Torrent,,Rain Dish,Monster,Water 1
8,Wartortle,Water,,405,59,63,80,65,80,58,1,Torrent,,Rain Dish,Monster,Water 1
9,Blastoise,Water,,530,79,83,100,85,105,78,1,Torrent,,Rain Dish,Monster,Water 1
9,Blastoise Mega Blastoise,Water,,630,79,103,120,135,115,78,1,Mega Launcher,,,Monster,Water 1
10,Caterpie,Bug,,195,45,30,35,20,20,45,1,Shield Dust,,Run Away,Bug,
11,Metapod,Bug,,205,50,20,55,25,25,30,1,Shed Skin,,,Bug,
12,Butterfree,Bug,Flying,395,60,45,50,90,80,70,1,Compound Eyes,,Tinted Lens,Bug,
13,Weedle,Bug,Poison,195,40,35,30,20,20,50,1,Shield Dust,,Run Away,Bug,
14,Kakuna,Bug,Poison,205,45,25,50,25,25,35,1,Shed Skin,,,Bug,
15,Beedrill,Bug,Poison,395,65,90,40,45,80,75,1,Swarm,,Sniper,Bug,
15,Beedrill Mega Beedrill,Bug,Poison,495,65,150,40,15,80,145,1,Adaptability,,,Bug,
16,Pidgey,Normal,Flying,251,40,45,40,35,35,56,1,Keen Eye,Tangled Feet,Big Pecks,Flying,
17,Pidgeotto,Normal,Flying,349,63,60,55,50,50,71,1,Keen Eye,Tangled Feet,Big Pecks,Flying,
18,Pidgeot,Normal,Flying,479,83,80,75,70,70,101,1,Keen Eye,Tangled Feet,Big Pecks,Flying,
18,Pidgeot Mega Pidgeot,Normal,Flying,579,83,80,80,135,80,121,1,No Guard,,,Flying,
19,Rattata,Normal,,253,30,56,35,25,35,72,1,Run Away,Guts,Hustle,Field,
19,Rattata Alolan Form,Dark,Normal,253,30,56,35,25,35,72,1,Gluttony,Hustle,Thick Fat,Field,
20,Raticate,Normal,,413,55,81,60,50,70,97,1,Run Away,Guts,Hustle,Field,
20,Raticate Alolan Form,Dark,Normal,413,75,71,70,40,80,77,1,Gluttony,Hustle,Thick Fat,Field,
21,Spearow,Normal,Flying,262,40,60,30,31,31,70,1,Keen Eye,,Sniper,Flying,
22,Fearow,Normal,Flying,442,65,90,65,61,61,100,1,Keen Eye,,Sniper,Flying,
23,Ekans,Poison,,288,35,60,44,40,54,55,1,Intimidate,Shed Skin,Unnerve,Dragon,Field
24,Arbok,Poison,,448,60,95,69,65,79,80,1,Intimidate,Shed Skin,Unnerve,Dragon,Field
25,Pikachu,Electric,,320,35,55,40,50,50,90,1,Static,,Lightning Rod,Fairy,Field
25,Pikachu Partner Pikachu,Electric,,430,45,80,50,75,60,120,1,,,,,
26,Raichu,Electric,,485,60,90,55,90,80,110,1,Static,,Lightning Rod,Fairy,Field
26,Raichu Alolan Form,Electric,Psychic,485,60,85,50,95,85,110,1,Surge Surfer,,,Fairy,Field
27,Sandshrew,Ground,,300,50,75,85,20,30,40,1,Sand Veil,,Sand Rush,Field,
27,Sandshrew Alolan Form,Ice,Steel,300,50,75,90,10,35,40,1,Snow Cloak,,Slush Rush,Field,
28,Sandslash,Ground,,450,75,100,110,45,55,65,1,Sand Veil,,Sand Rush,Field,
28,Sandslash Alolan Form,Ice,Steel,450,75,100,120,25,65,65,1,Snow Cloak,,Slush Rush,Field,
29,Nidoran?,Poison,,275,55,47,52,40,40,41,1,Poison Point,Rivalry,Hustle,Monster,Field
30,Nidorina,Poison,,365,70,62,67,55,55,56,1,Poison Point,Rivalry,Hustle,Undiscovered,
31,Nidoqueen,Poison,Ground,505,90,92,87,75,85,76,1,Poison Point,Rivalry,Sheer Force,Undiscovered,
32,Nidoran?,Poison,,273,46,57,40,40,40,50,1,Poison Point,Rivalry,Hustle,Monster,Field
33,Nidorino,Poison,,365,61,72,57,55,55,65,1,Poison Point,Rivalry,Hustle,Monster,Field
34,Nidoking,Poison,Ground,505,81,102,77,85,75,85,1,Poison Point,Rivalry,Sheer Force,Monster,Field
35,Clefairy,Fairy,,323,70,45,48,60,65,35,1,Cute Charm,Magic Guard,Friend Guard,Fairy,
36,Clefable,Fairy,,483,95,70,73,95,90,60,1,Cute Charm,Magic Guard,Unaware,Fairy,
37,Vulpix,Fire,,299,38,41,40,50,65,65,1,Flash Fire,,Drought,Field,
37,Vulpix Alolan Form,Ice,,299,38,41,40,50,65,65,1,Snow Cloak,,Snow Warning,Field,
38,Ninetales,Fire,,505,73,76,75,81,100,100,1,Flash Fire,,Drought,Field,
38,Ninetales Alolan Form,Ice,Fairy,505,73,67,75,81,100,109,1,Snow Cloak,,Snow Warning,Field,
39,Jigglypuff,Normal,Fairy,270,115,45,20,45,25,20,1,Cute Charm,Competitive,Friend Guard,Fairy,
40,Wigglytuff,Normal,Fairy,435,140,70,45,85,50,45,1,Cute Charm,Competitive,Frisk,Fairy,
41,Zubat,Poison,Flying,245,40,45,35,30,40,55,1,Inner Focus,,Infiltrator,Flying,
42,Golbat,Poison,Flying,455,75,80,70,65,75,90,1,Inner Focus,,Infiltrator,Flying,
43,Oddish,Grass,Poison,320,45,50,55,75,65,30,1,Chlorophyll,,Run Away,Grass,
44,Gloom,Grass,Poison,395,60,65,70,85,75,40,1,Chlorophyll,,Stench,Grass,
45,Vileplume,Grass,Poison,490,75,80,85,110,90,50,1,Chlorophyll,,Effect Spore,Grass,
46,Paras,Bug,Grass,285,35,70,55,45,55,25,1,Effect Spore,Dry Skin,Damp,Bug,Grass
47,Parasect,Bug,Grass,405,60,95,80,60,80,30,1,Effect Spore,Dry Skin,Damp,Bug,Grass
48,Venonat,Bug,Poison,305,60,55,50,40,55,45,1,Compound Eyes,Tinted Lens,Run Away,Bug,
49,Venomoth,Bug,Poison,450,70,65,60,90,75,90,1,Shield Dust,Tinted Lens,Wonder Skin,Bug,
50,Diglett,Ground,,265,10,55,25,35,45,95,1,Sand Veil,Arena Trap,Sand Force,Field,
50,Diglett Alolan Form,Ground,Steel,265,10,55,30,35,45,90,1,Sand Veil,Tangling Hair,Sand Force,Field,
51,Dugtrio,Ground,,425,35,100,50,50,70,120,1,Sand Veil,Arena Trap,Sand Force,Field,
51,Dugtrio Alolan Form,Ground,Steel,425,35,100,60,50,70,110,1,Sand Veil,Tangling Hair,Sand Force,Field,
52,Meowth,Normal,,290,40,45,35,40,40,90,1,Pickup,Technician,Unnerve,Field,
52,Meowth Alolan Form,Dark,,290,40,35,35,50,40,90,1,Pickup,Technician,Rattled,Field,
52,Meowth Galarian Form,Steel,,290,50,65,55,40,40,40,1,Pickup,Tough Claws,Unnerve,Field,
53,Persian,Normal,,440,65,70,60,65,65,115,1,Limber,Technician,Unnerve,Field,
53,Persian Alolan Form,Dark,,440,65,60,60,75,65,115,1,Fur Coat,Technician,Rattled,Field,
54,Psyduck,Water,,320,50,52,48,65,50,55,1,Damp,Cloud Nine,Swift Swim,Water 1,Field
55,Golduck,Water,,500,80,82,78,95,80,85,1,Damp,Cloud Nine,Swift Swim,Water 1,Field
56,Mankey,Fighting,,305,40,80,35,35,45,70,1,Vital Spirit,Anger Point,Defiant,Field,
57,Primeape,Fighting,,455,65,105,60,60,70,95,1,Vital Spirit,Anger Point,Defiant,Field,
58,Growlithe,Fire,,350,55,70,45,70,50,60,1,Intimidate,Flash Fire,Justified,Field,
59,Arcanine,Fire,,555,90,110,80,100,80,95,1,Intimidate,Flash Fire,Justified,Field,
60,Poliwag,Water,,300,40,50,40,40,40,90,1,Water Absorb,Damp,Swift Swim,Water 1,
61,Poliwhirl,Water,,385,65,65,65,50,50,90,1,Water Absorb,Damp,Swift Swim,Water 1,
62,Poliwrath,Water,Fighting,510,90,95,95,70,90,70,1,Water Absorb,Damp,Swift Swim,Water 1,
63,Abra,Psychic,,310,25,20,15,105,55,90,1,Synchronize,Inner Focus,Magic Guard,Human-Like,
64,Kadabra,Psychic,,400,40,35,30,120,70,105,1,Synchronize,Inner Focus,Magic Guard,Human-Like,
65,Alakazam,Psychic,,500,55,50,45,135,95,120,1,Synchronize,Inner Focus,Magic Guard,Human-Like,
65,Alakazam Mega Alakazam,Psychic,,600,55,50,65,175,105,150,1,Trace,,,Human-Like,
66,Machop,Fighting,,305,70,80,50,35,35,35,1,Guts,No Guard,Steadfast,Human-Like,
67,Machoke,Fighting,,405,80,100,70,50,60,45,1,Guts,No Guard,Steadfast,Human-Like,
68,Machamp,Fighting,,505,90,130,80,65,85,55,1,Guts,No Guard,Steadfast,Human-Like,
69,Bellsprout,Grass,Poison,300,50,75,35,70,30,40,1,Chlorophyll,,Gluttony,Grass,
70,Weepinbell,Grass,Poison,390,65,90,50,85,45,55,1,Chlorophyll,,Gluttony,Grass,
71,Victreebel,Grass,Poison,490,80,105,65,100,70,70,1,Chlorophyll,,Gluttony,Grass,
72,Tentacool,Water,Poison,335,40,40,35,50,100,70,1,Clear Body,Liquid Ooze,Rain Dish,Water 3,
73,Tentacruel,Water,Poison,515,80,70,65,80,120,100,1,Clear Body,Liquid Ooze,Rain Dish,Water 3,
74,Geodude,Rock,Ground,300,40,80,100,30,30,20,1,Rock Head,Sturdy,Sand Veil,Mineral,
74,Geodude Alolan Form,Rock,Electric,300,40,80,100,30,30,20,1,Magnet Pull,Sturdy,Galvanize,Mineral,
75,Graveler,Rock,Ground,390,55,95,115,45,45,35,1,Rock Head,Sturdy,Sand Veil,Mineral,
75,Graveler Alolan Form,Rock,Electric,390,55,95,115,45,45,35,1,Magnet Pull,Sturdy,Galvanize,Mineral,
76,Golem,Rock,Ground,495,80,120,130,55,65,45,1,Rock Head,Sturdy,Sand Veil,Mineral,
76,Golem Alolan Form,Rock,Electric,495,80,120,130,55,65,45,1,Magnet Pull,Sturdy,Galvanize,Mineral,
77,Ponyta,Fire,,410,50,85,55,65,65,90,1,Run Away,Flash Fire,Flame Body,Field,
77,Ponyta Galarian Form,Psychic,,410,50,85,55,65,65,90,1,Run Away,Pastel Veil,Anticipation,Field,
78,Rapidash,Fire,,500,65,100,70,80,80,105,1,Run Away,Flash Fire,Flame Body,Field,
78,Rapidash Galarian Form,Psychic,Fairy,500,65,100,70,80,80,105,1,Run Away,Pastel Veil,Anticipation,Field,
79,Slowpoke,Water,Psychic,315,90,65,65,40,40,15,1,Oblivious,Own Tempo,Regenerator,Monster,Water 1
79,Slowpoke Galarian Form,Psychic,,315,90,65,65,40,40,15,1,Gluttony,Own Tempo,Regenerator,Monster,Water 1
80,Slowbro,Water,Psychic,490,95,75,110,100,80,30,1,Oblivious,Own Tempo,Regenerator,Monster,Water 1
80,Slowbro Mega Slowbro,Water,Psychic,590,95,75,180,130,80,30,1,Shell Armor,,,Monster,Water 1
80,Slowbro Galarian Form,Poison,Psychic,490,95,100,95,100,70,30,1,Quick Draw,Own Tempo,Regenerator,Monster,Water 1
81,Magnemite,Electric,Steel,325,25,35,70,95,55,45,1,Magnet Pull,Sturdy,Analytic,Mineral,
82,Magneton,Electric,Steel,465,50,60,95,120,70,70,1,Magnet Pull,Sturdy,Analytic,Mineral,
83,Farfetch'd,Normal,Flying,377,52,90,55,58,62,60,1,Keen Eye,Inner Focus,Defiant,Flying,Field
83,Farfetch'd Galarian Form,Fighting,,377,52,95,55,58,62,55,1,Steadfast,,Scrappy,Flying,Field
